Company Name,Company Name for Emails,# Employees,Website,Company City,Company State,Company Postal Code,Company Address,Company Phone,Apollo Record Id,NAICS Codes,Subsidiary of,Subsidiary of (Organization ID),Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Prerequisite: Determine Research Guidelines,Qualify Account,Prerequisite: Research Target Company
Global Alliance of Impact Lawyers (GAIL),Global Alliance of Impact Lawyers,54,http://www.gailnet.org,London,England,EC4R 1BE,"10 Queen Street Place, London, England, United Kingdom, EC4R 1BE",,63d105127f7c1f00a3ea0909,,,,,,,,,,
Court Enforcement Services,Court Enforcement Services,81,http://www.courtenforcementservices.co.uk,London,England,EC3R 8AF,"11 Monument Street, London, England, United Kingdom, EC3R 8AF",'+44 343 504 1607,63d105bbc16db900f907acfb,"54111, 561440",,,,,,,,,
Vantage Point,Vantage Point,81,http://www.vantagepointglobal.com,London,England,EC2R 7AE,"41 Lothbury, London, England, United Kingdom, EC2R 7AE",'+44 20 3709 5885,63e2218ec8a7c400dbd11294,54161,,,,,,,,,
Keltie,Keltie,140,http://www.keltie.comhttps,London,England,SE1 5,"London Bridge, London, England, United Kingdom, SE1 5",'+44 20 7329 8888,63e225ead2b08300a36c2cab,541110,,,,,,,,,
Bolt Burdon Kemp,Bolt Burdon Kemp,160,http://www.boltburdonkemp.co.uk,London,England,EC2Y,"London, England, United Kingdom, EC2Y",'+44 20 7288 4800,63e22ac5c04bb100dc29fda8,541110,,,,,,,,,
Bridging The Bar,Bridging The Bar,70,http://www.bridgingthebar.org,London,England,,"London, England, United Kingdom",,63f49b8fa2782500a3bbbc89,81321,,,,,,,,,
9BR International,9BR International,23,,London,England,WC1R 5EY,"South Square, London, England, United Kingdom, WC1R 5EY", 020 7489 2727,645e0a249f342b0001edc175,541110,,,,,,,,,
Fraser and Fraser,Fraser and Fraser,79,http://www.fraserandfraser.co.uk,London,England,EC1N 8EH,"39 Hatton Garden, London, England, United Kingdom, EC1N 8EH",'+44 20 7832 1400,645e0a33b2e6890001eed8d2,"54172, 541990, 561611",,,,,,,,,
Old Square Tax chambers,Old Square Tax chambers,23,http://www.taxchambers.com,London,England,WC2A 3UE,"15 Old Square, London, England, United Kingdom, WC2A 3UE",'+44 20 7242 2744,645e0a69f551b000016fa000,54111,Taxman Chambers Limited (taxmanchambers.com),637b81576b497600a302fb87,,,,,,,
Advantage Solicitors LTD,Advantage Solicitors,36,http://www.advantagesolicitors.com,London,England,N18 2,"273 Fore Street, London, England, United Kingdom, N18 2",'+44 20 8807 1676,645e0a7ed0f0c900013c73e1,54111,,,,,,,,,
Myers Fletcher & Gordon,Myers Fletcher & Gordon,24,http://www.mfglon.co.uk,London,England,W6 7NJ,"210 Shepherds Bush Road, London, England, United Kingdom, W6 7NJ",'+44 20 7610 4433,645e0a7ed0f0c900013c73e3,541110,,,,,,,,,
Stepien Lake LLP,Stepien Lake,23,http://www.stepienlake.co.uk,London,England,W1G,"43 Welbeck Street, London, England, United Kingdom, W1G",'+44 20 7467 3030,645e1f94742b4900f0b1748c,54111,,,,,,,,,
Legastat Ltd,Legastat,35,http://www.legastat.co.uk,London,England,WC2A 2JB,"57 Carey Street, London, England, United Kingdom, WC2A 2JB",'+44 20 7405 9178,65266bf85a97e90001e3408e,"54111, 541199",,,,,,,,,
Avantia Law,Avantia Law,130,http://www.avantialaw.com,London,England,EC3V 9AH,"21 Lombard Street, London, England, United Kingdom, EC3V 9AH",'+44 303 123 1113,65266f142f65530001148ca4,54111,,,,,,,,,
6KBW College Hill,6KBW College Hill,41,http://www.6kbw.com,London,England,EC4R 2RP,"21 College Hill, London, England, United Kingdom, EC4R 2RP",'+44 20 3301 0910,65266f142f65530001148cc1,541110,,,,,,,,,
The IDRC,The IDRC,27,http://www.idrc.co.uk,London,England,EC4M 7DX,"1 Paternoster Square, London, England, United Kingdom, EC4M 7DX",'+44 20 7936 7000,653f918cab32d00001d76a4b,"54111, 541199, 561920",,,,,,,,,
Culver Law Ltd,Culver Law,26,http://www.culverlaw.co.uk,London,,,"London, United Kingdom",'+44 20 3633 6226,653f963fe49abe00a301cc20,,,,,,,,,,
ip21 Ltd,ip21,24,http://www.ip21.com,London,England,SW18 2,"East Hill, London, England, United Kingdom, SW18 2",'+44 16 0345 7008,653f98150b44ba00a375443f,541110,,,,,,,,,
2 Harcourt Buildings,2 Harcourt Buildings,45,http://www.2hb.co.uk,London,,,"London, United Kingdom",'+44 20 7353 2112,653f9a54f28f4e0001313494,541110,,,,,,,,,
Imperium Chambers,Imperium Chambers,22,http://www.imperiumchambers.co.uk,London,England,,"London, England, United Kingdom",'+44 20 7242 3488,659bfe99a551830001b10a47,541110,,,,,,,,,
Blackwood Group,Blackwood Group,79,http://www.blackwoodgroup.com,London,England,EC3V 0AT,"6 Gracechurch Street, London, England, United Kingdom, EC3V 0AT",'+44 20 7220 0270,65d8bc3a96bb5f0001e7dcd6,"23621, 541612, 561312",,,,,,,,,
Lee Bolton Monier-Williams LLP,Lee Bolton Monier-Williams,78,http://www.lbmw.com,London,England,SW1P 3JT,"1 The Sanctuary, London, England, United Kingdom, SW1P 3JT",'+44 20 7222 5381,65e5cdb76fbb840007eba527,54111,,,,,,,,,
Centuro Global,Centuro Global,44,http://www.centuroglobal.com,London,England,E14 5EY,"25 Churchill Place, London, England, United Kingdom, E14 5EY",'+44 20 7458 4600,661cecb2a9c40a000737d53a,54161,,,,,,,,,
Capital Placement,Capital Placement,37,http://www.capital-placement.com,London,England,E1 5RY,"73 Coventry Road, London, England, United Kingdom, E1 5RY",'+44 20 3865 0982,661cecfad6457c000700393b,61131,,,,,,,,,
AVRillo Conveyancing,AVRillo Conveyancing,57,http://www.avrillo.co.uk,London,,,"London, United Kingdom",'+44 20 8372 2095,665db3c700ea9e000146f5f7,541110,,,,,,,,,
LMBC,LMBC,45,http://www.legalminutes.com,London,,,"London, United Kingdom",,668e80f8843c5e000196ab30,,,,,,,,,,
"Law&Trust - International legal services, Tax, Fintech, Intellectual, Licensing",Law&Trust,27,http://www.lawstrust.com,London,England,W1W 8AF,"6 Market Place, London, England, United Kingdom, W1W 8AF",'+44 20 3769 3394,668e81109715f80001d94514,541110,,,,,,,,,
PET PAVILION LIMITED,PET PAVILION,,,London,England,,"London, England, United Kingdom",,668e81119715f80001d94580,,,,,,,,,,
IXP Visas,IXP Visas,70,http://www.globalvisas.com,London,England,EC3R 5AT,"28 Great Tower Street, London, England, United Kingdom, EC3R 5AT",'+44442071903930,668e811a16a99300018961de,541199,,,,,,,,,
Exsus,Exsus,38,http://www.exsusglobal.com,London,England,SE1 8RT,"91 Waterloo Road, London, England, United Kingdom, SE1 8RT",'+44 20 7402 2223,668e811a16a99300018961f4,"541611, 561920, 541613",,,,,,,,,
Falcon Chambers,Falcon Chambers,64,http://www.falcon-chambers.com,London,England,SW14 7QB,"41 Observatory Road, London, England, United Kingdom, SW14 7QB",'+44 20 7353 2484,668e811a16a99300018961f8,541110,,,,,,,,,
CompuMark I Trademark Research and Protection,CompuMark I Trademark Research and Protection,3,,London,,,"London, United Kingdom",,668e81584447c70001bd2cb3,,,,,,,,,,
Ascheri Nelson LLP,Ascheri Nelson,27,http://www.ascherinelson.uk,London,,,"London, United Kingdom",,668e81584447c70001bd2d20,54111,,,,,,,,,
MK Law Solicitors,MK Law Solicitors,44,http://www.mk-law.co.uk,London,,,"London, United Kingdom",'+44 20 8692 2694,6791fe443a6bfd0001a50f08,541110,,,,,,,,,
GQ|Littler,GQ|Littler,49,http://www.littler.co.uk,London,,,"London, United Kingdom",'+44 20 3375 0330,6791fe443a6bfd0001a50f31,541110,Littler (littler.com),54a12a5169702da2207c0402,,,,,,,
OMNIA STRATEGY LLP,OMNIA STRATEGY,23,http://www.omniastrategy.com,London,,,"London, United Kingdom",'+44 20 3915 6006,6791fe443a6bfd0001a50f37,541110,,,,,,,,,
Lisa's Law Solicitors,Lisa's Law Solicitors,56,http://www.lisaslaw.co.uk,London,,,"London, United Kingdom",'+44 20 7928 0276,6791fe453a6bfd0001a50faa,541110,,,,,,,,,
5 Stone Buildings,5 Stone Buildings,42,http://www.5sblaw.com,London,,,"London, United Kingdom",'+44 20 7242 6201,6791fe453a6bfd0001a50fab,541110,,,,,,,,,
