Company Name,Website,# Employees,Company City,Couno Status
Global Alliance of Impact Lawyers (GAIL),http://www.gailnet.org,54.0,London,New
Court Enforcement Services,http://www.courtenforcementservices.co.uk,81.0,London,New
Vantage Point,http://www.vantagepointglobal.com,81.0,London,New
Keltie,http://www.keltie.comhttps,140.0,London,New
Bolt Burdon Kemp,http://www.boltburdonkemp.co.uk,160.0,London,New
Bridging The Bar,http://www.bridgingthebar.org,70.0,London,New
9BR International,,23.0,London,New
Fraser and Fraser,http://www.fraserandfraser.co.uk,79.0,London,New
Old Square Tax chambers,http://www.taxchambers.com,23.0,London,New
Advantage Solicitors LTD,http://www.advantagesolicitors.com,36.0,London,New
Myers Fletcher & Gordon,http://www.mfglon.co.uk,24.0,London,New
Stepien Lake LLP,http://www.stepienlake.co.uk,23.0,London,New
Legastat Ltd,http://www.legastat.co.uk,35.0,London,New
Avantia Law,http://www.avantialaw.com,130.0,London,Already Worked
6KBW College Hill,http://www.6kbw.com,41.0,London,Already Worked
The IDRC,http://www.idrc.co.uk,27.0,London,New
Culver Law Ltd,http://www.culverlaw.co.uk,26.0,London,New
ip21 Ltd,http://www.ip21.com,24.0,London,New
2 Harcourt Buildings,http://www.2hb.co.uk,45.0,London,New
Imperium Chambers,http://www.imperiumchambers.co.uk,22.0,London,New
Blackwood Group,http://www.blackwoodgroup.com,79.0,London,New
Lee Bolton Monier-Williams LLP,http://www.lbmw.com,78.0,London,New
Centuro Global,http://www.centuroglobal.com,44.0,London,New
Capital Placement,http://www.capital-placement.com,37.0,London,New
AVRillo Conveyancing,http://www.avrillo.co.uk,57.0,London,Already Worked
LMBC,http://www.legalminutes.com,45.0,London,New
"Law&Trust - International legal services, Tax, Fintech, Intellectual, Licensing",http://www.lawstrust.com,27.0,London,New
PET PAVILION LIMITED,,,London,New
IXP Visas,http://www.globalvisas.com,70.0,London,New
Exsus,http://www.exsusglobal.com,38.0,London,New
Falcon Chambers,http://www.falcon-chambers.com,64.0,London,New
CompuMark I Trademark Research and Protection,,3.0,London,New
Ascheri Nelson LLP,http://www.ascherinelson.uk,27.0,London,New
MK Law Solicitors,http://www.mk-law.co.uk,44.0,London,New
GQ|Littler,http://www.littler.co.uk,49.0,London,New
OMNIA STRATEGY LLP,http://www.omniastrategy.com,23.0,London,New
Lisa's Law Solicitors,http://www.lisaslaw.co.uk,56.0,London,New
5 Stone Buildings,http://www.5sblaw.com,42.0,London,Already Worked
Hopkin Murray Beskine,http://www.hmbsolicitors.co.uk,25.0,London,New
Hutchins & Co,http://www.hutchinslaw.co.uk,31.0,London,New
Powell Spencer and Partners,http://www.psplaw.co.uk,36.0,London,Already Worked
Harpers,http://www.harperslegal.com,30.0,London,New
Maurice Turnor Gardner LLP,http://www.mauriceturnorgardner.com,64.0,London,New
New Quadrant - Private Office,http://www.newquadrantpartners.com,29.0,London,New
Edwards Duthie Shamash Solicitors,http://www.edwardsduthieshamash.co.uk,88.0,London,New
Hannaford Turner LLP,http://www.hannafordturner.com,24.0,London,New
Fenchurch Law,http://www.fenchurchlaw.com,35.0,London,New
Kingsley Wood,http://www.kingsley-wood.com,46.0,London,New
Druces LLP,http://www.druces.com,95.0,London,New
Temple Bright LLP,http://www.templebright.com,84.0,London,New
Thomas More Chambers,http://www.thomasmore.co.uk,72.0,London,New
Grant Saw Solicitors LLP,http://www.grantsaw.com,68.0,London,New
Huggins Lewis Foskett Solicitors,http://www.hugginslaw.co.uk,22.0,London,New
ebl miller rosenfalck,http://www.ebl-mr.com,23.0,London,New
5 Essex Chambers,http://www.5essex.co.uk,71.0,London,New
Goldsmith Chambers,http://www.goldsmithchambers.com,84.0,London,New
Ince & Co. Private Wealth,http://www.inceco.com,45.0,London,New
11KBW,http://www.11kbw.com,85.0,London,New
Arc Pensions Law,http://www.arcpensionslaw.com,28.0,London,New
Aria Grace Law CIC,http://www.aria-grace.com,42.0,London,New
1 Kings Bench Walk,http://www.1kbw.co.uk,81.0,London,Already Worked
Moss Fallon Solicitors Limited,http://www.mossfallon.com,29.0,London,New
Levison Meltzer Pigott,http://www.levisonmeltzerpigott.co.uk,23.0,London,New
Briffa - Intellectual Property Lawyers,http://www.briffa.com,38.0,London,Already Worked
Punter Southall Law,http://www.puntersouthall.law,23.0,London,New
RCJ Advice,http://www.rcjadvice.org.uk,27.0,London,New
IGAL : International Group of Accountants and Lawyers,http://www.igal-network.com,21.0,London,New
Fox & Partners,http://www.foxlawyers.com,27.0,London,New
Moriarty Law,http://www.moriartylaw.co.uk,29.0,London,New
Beverley Morris & Co.,http://www.beverleymorris.co.uk,25.0,London,New
Reprieve,http://www.reprieve.org,60.0,London,New
Sterling Law,http://www.sterling-law.co.uk,81.0,London,New
Eldwick Law,http://www.eldwicklaw.com,27.0,London,New
Preston Turnbull LLP,http://www.preston-turnbull.com,69.0,London,New
Founders Law,http://www.founders-law.co.uk,32.0,London,New
Arbor Law,http://www.arbor.law,29.0,London,New
ELSA Queen Mary,http://www.elsa-uk.org,22.0,London,New
Sunrise Solicitors,http://www.sunrisesolicitors.co.uk,31.0,London,New
Assurety,http://www.assuretytraining.com,23.0,London,New
SBP Law,http://www.sbplaw.co.uk,36.0,London,Already Worked
Oliver Fisher Solicitors,http://www.oliverfisher.co.uk,22.0,London,New
Volterra Fietta,http://www.volterrafietta.com,29.0,London,New
LawtechUK,http://www.lawtechuk.io,28.0,London,New
United Kingdom & Eire Malaysian Law Students' Union (KPUM),http://www.kpum.org,93.0,London,New
Grant & Graham Ltd.,http://www.grant-graham.co.uk,29.0,London,New
BIRCHAM DYSON BELL NOMINEES LIMITED,,47.0,London,New
Bishop & Sewell LLP (Monro Wright and Wasbrough),http://www.bishopandsewell.co.uk,100.0,London,New
Blackstone Chambers,http://www.blackstonechambers.com,96.0,London,New
Peters & Peters,http://www.petersandpeters.com,110.0,London,New
Charles Russell LLP,,130.0,London,New
Charities at Hunters Law,,,London,New
Lee & Thompson LLP,http://www.leeandthompson.com,120.0,London,New
Rights of Women,http://www.rightsofwomen.org.uk,27.0,London,New
Scissero,http://www.scissero.com,45.0,London,New
Hayward Moon,http://www.haywardmoon.co.uk,63.0,,New
SuLe,http://www.sule.io,22.0,London,New
Joint Council for the Welfare of Immigrants,http://www.jcwi.org.uk,24.0,London,New
Fusion Consulting Group,http://www.fcg.co.uk,62.0,London,New
Laura Devine Immigration,http://www.lauradevine.com,59.0,London,Already Worked
Reddie & Grose Patent and Trade Mark Attorneys,http://www.reddie.co.uk,190.0,London,New
The Legal Director,http://www.thelegaldirector.co.uk,62.0,London,New
Arnold & Siedsma,http://www.arnold-siedsma.nl,170.0,London,New
Peerpoint,http://www.peerpoint.com,180.0,London,New
3 Bolt Court Chambers,http://www.3boltcourt.com,24.0,London,New
Sharpe Pritchard Solicitors & Parliamentary Agents,http://www.sharpepritchard.co.uk,120.0,London,New
Branch Austin McCormick LLP,http://www.branchaustinmccormick.com,44.0,London,Already Worked
Solomonic,http://www.solomonic.co.uk,61.0,London,New
Wilton & Bain,http://www.wilton-bain.com,86.0,London,New
North Kensington Law Centre,http://www.nklc.org.uk,21.0,London,New
Keith Carter & Associates,http://www.keithcarter.co.uk,22.0,London,New
Slingsby Partners LLP,http://www.slingsbypartners.com,51.0,London,New
Harrison Associates,http://www.harrison.associates,120.0,London,New
Peacock & Co Solicitors,http://www.peacock-law.co.uk,32.0,London,New
Erskine Chambers,http://www.erskinechambers.com,41.0,London,Already Worked
British Medical Experts,http://www.britishmedicalexperts.com,130.0,London,New
MSP Organisation,http://www.msporganisation.co.uk,,London,New
Field Court Chambers,http://www.fieldcourt.co.uk,63.0,London,New
MFB Superyacht Lawyers,,50.0,London,New
Stephens,http://www.stephens.law,53.0,London,New
Page Group Ltd,http://www.pagegroupltd.com,29.0,London,New
City Community Legal Advice Centre (CityCLAC),http://www.instantimpress.fun,84.0,London,New
QredibleUK,http://www.qredible.co.uk,1.0,London,New
Lawgality | You Deserve the Right to Free Legal Aid,http://www.lawgality.com,50.0,London,New
South West London Law Centres,http://www.swllc.org,84.0,London,New
CreateiQ,http://www.createiq.tech,17.0,London,New
Martello Expert Services,http://www.martelloglobal.com,35.0,London,New
Venters Solicitors,http://www.venters.co.uk,19.0,London,New
Gherson LLP,http://www.gherson.com,72.0,London,New
4BB Chambers,http://www.4bb.co.uk,63.0,London,New
Nucleus Legal Advice Centre,http://www.nucleus.org.uk,57.0,London,New
Milberg London LLP,http://www.milberg.co.uk,48.0,London,New
Cavendish Legal Group,http://www.clglaw.co.uk,67.0,London,New
Liberty Solicitors,http://www.libertysolicitors.co.uk,30.0,London,New
PET PAVILION LIMITED,,21.0,London,New
RadcliffesLeBrasseur LLP,http://www.rlb-law.com,51.0,London,New
Quillon Law,http://www.quillonlaw.com,23.0,London,New
MFB Solicitors,http://www.m-f-b.co.uk,62.0,London,Already Worked
Cornerstone Barristers,http://www.cornerstonebarristers.com,75.0,London,Already Worked
Ingram Winter Green LLP,http://www.iwg.co.uk,42.0,London,New
Grosvenor Law,http://www.grosvenorlaw.com,28.0,London,New
Serjeants'​ Inn Chambers,http://www.serjeantsinn.com,110.0,London,New
Pallas Partners LLP,http://www.pallasllp.com,70.0,London,New
McCarthy Denning,http://www.mccarthydenning.com,74.0,London,New
Boulter and Co LLP Solicitors,http://www.boulterandco.com,21.0,London,New
Sphere Legal Limited,http://www.spherelegal.com,22.0,London,New
SLDP,http://www.sldp.ngo,22.0,London,New
Harcourt - Family Law,http://www.harcourtchambers.co.uk,57.0,London,Already Worked
Novo Executive Search,http://www.novoexec.com,45.0,London,New
33 Chancery Lane,http://www.33knowledge.com,43.0,London,New
Patron Law,http://www.patronlaw.co.uk,40.0,London,Already Worked
Valere Capital Partners LLP,http://www.valere-capital.com,22.0,London,New
PCB LAWYERS LLP,http://www.pcblawyers.com,22.0,London,New
3TG Barristers,http://www.3tg.co.uk,54.0,London,Already Worked
"QEB (Queen Elizabeth Building), Chambers of Katie Cowton KC & James Ewins KC.",http://www.qeb.co.uk,43.0,London,New
Artington Legal | B Corp,http://www.artington.com,18.0,London,New
Legal Nodes,http://www.legalnodes.com,33.0,London,New
Settlement Agreement Solicitors,http://www.settlementagreement.com,25.0,London,New
Morgan Sports Law,http://www.morgansl.com,23.0,London,New
DavidsonMorris,http://www.davidsonmorris.com,22.0,London,New
TLB,http://www.tlb.law,60.0,London,New
Anthony Gold Solicitors,http://www.anthonygold.co.uk,160.0,London,New
Gatehouse Chambers,http://www.gatehouselaw.co.uk,170.0,London,New
The Bar Council of England and Wales,http://www.barcouncil.org.uk,150.0,London,New
Techspert,http://www.techspert.com,80.0,London,New
Aequitas Global,http://www.aeqglobal.com,28.0,London,New
012 Global Ltd,http://www.012-global.com,22.0,London,New
Boult Wade Tennant,http://www.boult.com,200.0,London,New
Just for Kids Law,http://www.justforkidslaw.org,30.0,London,New
Axiom DWFM,http://www.axiomdwfm.com,71.0,London,New
F-LEX,,,London,New
Church Court Chambers,http://www.churchcourtchambers.co.uk,58.0,London,Already Worked
Millennium Chambers - The Barrister Network,http://www.millenniumchambers.com,31.0,London,New
XYZ Law,http://www.xyz.law,71.0,London,New
G3,http://www.g3.co,320.0,London,New
Millnet,http://www.millnet.co.uk,56.0,London,New
Dragon Argent,http://www.dragonargent.com,25.0,London,New
Amphlett Lissimore Solicitors,http://www.allaw.co.uk,63.0,London,New
PET PAVILION LIMITED,,,London,New
Ince & Co.,http://www.incegd.com,88.0,London,New
MEUM Group,http://www.meum.group,25.0,London,New
LANE IP LIMITED,http://www.laneip.com,42.0,London,New
Prosperity Law LLP,http://www.prosperitylaw.com,57.0,London,Already Worked
Three Raymond Buildings,http://www.3rblaw.com,67.0,London,New
New Court Chambers,http://www.newcourtchambers.com,60.0,London,Already Worked
Thomas Cooper LLP,,,London,New
REVENUE CONSULTING LTD,,41.0,London,New
Combar - The Commercial Bar Association,,,London,New
Diligence,http://www.diligence.com,67.0,London,New
Trama,http://www.tramatm.com,56.0,London,New
QEB Hollis Whiteman,http://www.qebholliswhiteman.co.uk,92.0,London,New
Sonn Macmillan Walker,http://www.sonnmacmillanwalker.co.uk,34.0,London,Already Worked
Davitt Jones Bould (DJB),http://www.djblaw.co.uk,95.0,London,New
Thomas Mansfield Solicitors,http://www.tmemploymentlaw.co.uk,44.0,London,Already Worked
3DJB,http://www.3djb.co.uk,30.0,London,New
Refugee Law Clinic,http://rli.sas.ac.uk/projects/refugee-law-clinic,37.0,London,New
"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.",,92.0,London,New
Spector Constant & Williams,http://www.scwlegal.co.uk,63.0,London,Already Worked
Slater Gordon Solutions,http://www.slatergordonsolutions.co.uk,97.0,London,New
Solicitors' Inn,http://www.solicitorsinn.co.uk,30.0,London,New
Bates Solicitors,http://www.batessolicitors.co.uk,26.0,London,New
2TG (2 Temple Gardens),http://www.2tg.co.uk,71.0,London,New
Carter-Ruck,http://www.carter-ruck.com,41.0,London,New
Canfields Law Limited,http://www.canfieldslaw.co.uk,24.0,London,New
Rosling King LLP,http://www.rkllp.com,33.0,London,Already Worked
Glovers,http://www.glovers.co.uk,71.0,London,New
"Cooke, Young & Keidan LLP",http://www.cyklaw.com,39.0,London,Already Worked
Harold Benjamin,http://www.haroldbenjamin.com,98.0,London,New
XXIV Old Buildings,http://www.xxiv.co.uk,67.0,London,New
Furnival Chambers,http://www.furnivalchambers.co.uk,82.0,London,Already Worked
Doyle Clayton,http://www.doyleclayton.co.uk,90.0,London,New
Onside Law,http://www.onsidelaw.co.uk,46.0,London,New
One Pump Court Chambers,http://www.onepumpcourt.co.uk,87.0,London,New
Hogarth Chambers,http://www.hogarthchambers.com,40.0,London,New
Collins Benson Goldhill LLP,http://www.cbglaw.co.uk,31.0,London,New
"2BR, The Chambers of Brian Altman KC and Christine Agnew KC",http://www.2bedfordrow.co.uk,78.0,London,New
9 King's Bench Walk,http://www.9kbw.com,37.0,London,Already Worked
Colman Coyle,http://www.colmancoyle.com,38.0,London,Already Worked
Woodfords Solicitors LLP,http://www.woodfords.co.uk,25.0,London,New
Markand & Co Solicitors LLP,http://www.markandsolicitors.co.uk,23.0,London,New
Maina & Maina advocates,,40.0,London,New
Francis Wilks & Jones,http://www.franciswilksandjones.co.uk,32.0,London,New
"2 Hare Court, Chambers of Jonathan Laidlaw KC",http://www.2harecourt.com,88.0,London,New
JPC,http://www.jpclaw.co.uk,57.0,London,New
G37 Chambers,http://www.g37chambers.com,29.0,London,New
Levenes Solicitors,http://www.levenes.co.uk,63.0,London,Already Worked
Lawstop,http://www.lawstop.co.uk,77.0,London,New
Central Chambers Law Solicitors,http://www.centralchamberslaw.com,41.0,London,New
BDBF LLP,http://www.bdbf.co.uk,37.0,London,Already Worked
New Square Chambers,http://www.newsquarechambers.co.uk,67.0,London,New
Comptons Solicitors LLP,http://www.comptons.co.uk,34.0,London,Already Worked
SHADFORTH PHARMACEUTICAL COMPANY LIMITED,,27.0,London,New
Malik & Malik Solicitors,http://www.malikandmalikuk.com,22.0,London,New
Public Law Project,http://www.publiclawproject.org.uk,38.0,London,New
11 New Square,http://www.11newsquare.com,30.0,London,New
Advocate,http://www.weareadvocate.org.uk,24.0,London,New
Archor,http://www.archor.co.uk,25.0,Langham,New
1 Crown Office Row,http://www.1cor.com,110.0,London,New
Olswang - (Now CMS),,150.0,London,New
The 36 Group,http://www.36group.co.uk,180.0,London,New
Deka Chambers,http://www.dekachambers.com,140.0,London,New
Kidd Rapinet LLP,http://www.kiddrapinet.co.uk,120.0,London,New
Finders International Probate Genealogists,http://www.findersinternational.com,160.0,London,New
Farani Taylor Solicitors,http://www.faranitaylor.com,90.0,London,New
4-5 Gray's Inn Square,http://www.4-5.co.uk,140.0,London,New
4 Pump Court,http://www.4pumpcourt.com,160.0,London,New
Kelmer Group,http://www.kelmer.com,43.0,London,New
Amicus ALJ,http://www.amicus-alj.org,85.0,London,New
Safe Passage International,http://www.safepassage.org.uk,47.0,London,New
Fairweather Law,http://www.fairweatherlaw.co.uk,34.0,Framlingham,New
REDRESS,http://www.redress.org,69.0,London,New
Pinsent Masons Vario,,200.0,London,New
STRIVE,http://www.strivetalent.org,27.0,London,New
Temple Garden Chambers,http://www.tgchambers.com,76.0,London,New
Hunters Law LLP,http://www.hunterslaw.com,100.0,London,New
Osbornes Law,http://www.osborneslaw.com,200.0,London,Already Worked
Council for Licensed Conveyancers - regulating property and probate lawyers,http://www.clc-uk.org,34.0,London,New
Legal Marketing Agency,,,London,New
12 Old Square,http://www.12oldsquare.com,28.0,London,New
Corker Binning,http://www.corkerbinning.com,38.0,London,New
5 Paper Buildings,http://www.5pb.co.uk,49.0,London,New
Pump Court Tax Chambers,http://www.pumptax.com,47.0,London,Already Worked
Bail for Immigration Detainees (BID),http://www.biduk.org,45.0,London,New
Briton Solicitors,http://www.britainsolicitors.co.uk,40.0,London,New
Crawford,,67.0,London,New
Malik Law Chambers,http://www.maliklaw.com,37.0,London,New
PEARSON SPECTER LIMITED,,27.0,London,New
Teacher Stern LLP,http://www.teacherstern.com,110.0,London,New
A Y & J Solicitors,http://www.ayjsolicitors.com,41.0,London,Already Worked
